WSBrewSpentGrainSiloType_Monitoring_Consumption_Electricity,50112,Object
WSBrewSpentGrainSiloType_Monitoring_Consumption_Electricity_Main,50113,Object
WSBrewSpentGrainSiloType_Monitoring_Consumption_CompressedAir,50114,Object
WSBrewSpentGrainSiloType_Monitoring_Consumption_CompressedAir_Main,50115,Object
WSBrewSpentGrainSiloType_Monitoring_Process,50116,Object
WSBrewSpentGrainSiloType_Monitoring_Process_QuantityWashableExtract,50117,Object
WSBrewUnderbackType,10010,ObjectType
WSBrewUnderbackType_Monitoring,50118,Object
WSBrewUnderbackType_Monitoring_Consumption,50119,Object
WSBrewUnderbackType_Monitoring_Consumption_Electricity,50120,Object
WSBrewUnderbackType_Monitoring_Consumption_Electricity_Main,50121,Object
WSBrewUnderbackType_Monitoring_Consumption_Steam,50122,Object
WSBrewUnderbackType_Monitoring_Consumption_Steam_Main,50123,Object
WSBrewUnderbackType_Monitoring_Process,50124,Object
WSBrewUnderbackType_Monitoring_Process_Humidity,50125,Object
WSBrewUnderbackType_Monitoring_Process_QuantityUnboiledWort,50126,Object
WSBrewUnderbackType_Monitoring_Process_Temperature,50127,Object
WSBrewUnderbackType_Monitoring_Process_VolumeFlow,50128,Object
WSBrewWortKettleType,10011,ObjectType
WSBrewWortKettleType_Monitoring,50129,Object
WSBrewWortKettleType_Monitoring_Consumption,50130,Object
WSBrewWortKettleType_Monitoring_Consumption_Electricity,50131,Object
WSBrewWortKettleType_Monitoring_Consumption_Electricity_Main,50132,Object
WSBrewWortKettleType_Monitoring_Consumption_Steam,50133,Object
WSBrewWortKettleType_Monitoring_Consumption_Steam_Main,50134,Object
WSBrewWortKettleType_Monitoring_Consumption_HotWater,50135,Object
WSBrewWortKettleType_Monitoring_Consumption_HotWater_Main,50136,Object
WSBrewWortKettleType_Monitoring_Consumption_FossilFuel,50137,Object
WSBrewWortKettleType_Monitoring_Consumption_FossilFuel_Main,50138,Object
WSBrewWortKettleType_Monitoring_Consumption_Additive,50139,Object
WSBrewWortKettleType_Monitoring_Consumption_Additive_Main,50140,Object
WSBrewWortKettleType_Monitoring_Process,50141,Object
WSBrewWortKettleType_Monitoring_Process_QuantityHotWort,50142,Object
WSBrewWortKettleType_Monitoring_Process_QuantityCondensate,50143,Object
WSBrewWortKettleType_Monitoring_Process_QuantityUnboiledWort,50144,Object
WSBrewWortKettleType_Monitoring_Process_ExtractCastWort,50145,Object
WSBrewWortKettleType_Monitoring_Process_ExtractUnboiledWort,50146,Object
WSBrewWortKettleType_Monitoring_Process_pHValueProduct,50147,Object
WSBrewWortKettleType_Monitoring_Process_Pressure,50148,Object
WSBrewWortKettleType_Monitoring_Process_Temperature,50149,Object
WSBrewWortKettleType_Monitoring_Process_QuantityHops,50150,Object
WSBrewWortKettleType_Monitoring_Process_PositionofSteamDamper,50151,Object
WSBrewWortKettleType_Monitoring_Process_PositionofSteamDamper_ProcessValueSetpoint,60019,Variable
WSBrewWortKettleType_Monitoring_Status,50152,Object
WSBrewWortKettleType_Monitoring_Status_OperatingMode,50153,Object
WSBrewWortKettleType_Monitoring_Status_PackMLBaseStateMachine,50154,Object
WSBrewWortKettleType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50155,Object
WSBrewWortKettleType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50156,Object
WSBrewWortKettleType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50157,Object
WSBrewWortKettleType_Notifications,50158,Object
